# x[mm]	L[um]	t[s]	stress[Pa]
0.000000000000000000e+00	7.389056098930649341e+02	0.000000000000000000e+00	-0.000000000000000000e+00
2.038181976455010619e-02	7.389056098930649341e+02	1.506024096385542030e-04	-0.000000000000000000e+00
4.076363952910021238e-02	7.389056098930649341e+02	3.012048192771084060e-04	-0.000000000000000000e+00
6.114545929365031163e-02	7.389056098930649341e+02	4.518072289156625549e-04	6.507022081597635220e-16
8.152727905820042476e-02	7.389056098930649341e+02	6.024096385542168121e-04	-0.000000000000000000e+00
1.019090988227505379e-01	7.389056098930649341e+02	7.530120481927711235e-04	6.507022081597635220e-16
1.222909185873006233e-01	7.389056098930649341e+02	9.036144578313251097e-04	-6.507022081597635220e-16
1.426727383518507364e-01	7.389056098930649341e+02	1.054216867469879313e-03	-0.000000000000000000e+00
1.630545581164008495e-01	7.389056098930649341e+02	1.204819277108433624e-03	-0.000000000000000000e+00
1.834363778809509626e-01	7.389056098930649341e+02	1.355421686746987936e-03	-0.000000000000000000e+00
2.038181976455010758e-01	7.389056098930649341e+02	1.506024096385542030e-03	6.507022081597635220e-16
2.242000174100511611e-01	7.389056098930649341e+02	1.656626506024096125e-03	-0.000000000000000000e+00
2.445818371746012465e-01	7.389056098930649341e+02	1.807228915662650219e-03	-6.507022081597635220e-16
2.649636569391513596e-01	7.389056098930649341e+02	1.957831325301204531e-03	-0.000000000000000000e+00
2.853454767037014728e-01	7.389056098930649341e+02	2.108433734939758625e-03	-0.000000000000000000e+00
3.057272964682515859e-01	7.389056098930649341e+02	2.259036144578312720e-03	-0.000000000000000000e+00
3.261091162328016990e-01	7.389056098930649341e+02	2.409638554216866815e-03	-0.000000000000000000e+00
3.464909359973518121e-01	7.389056098930649341e+02	2.560240963855420909e-03	-0.000000000000000000e+00
3.668727557619019253e-01	7.389056098930649341e+02	2.710843373493975004e-03	-0.000000000000000000e+00
3.872545755264520384e-01	7.389056098930649341e+02	2.861445783132529098e-03	-0.000000000000000000e+00
4.076363952910021515e-01	7.389056098930649341e+02	3.012048192771083627e-03	-6.507022081597635220e-16
4.280182150555522091e-01	7.389056098930649341e+02	3.162650602409637721e-03	6.507022081597635220e-16
4.484000348201023223e-01	7.389056098930649341e+02	3.313253012048191816e-03	-0.000000000000000000e+00
4.687818545846524354e-01	7.389056098930649341e+02	3.463855421686745911e-03	-6.507022081597635220e-16
4.891636743492024930e-01	7.389056098930649341e+02	3.614457831325299571e-03	-0.000000000000000000e+00
5.095454941137526061e-01	7.389056098930649341e+02	3.765060240963854100e-03	-0.000000000000000000e+00
5.299273138783027193e-01	7.389056098930649341e+02	3.915662650602408194e-03	-0.000000000000000000e+00
5.503091336428528324e-01	7.389056098930649341e+02	4.066265060240962723e-03	-0.000000000000000000e+00
5.706909534074029455e-01	7.389056098930649341e+02	4.216867469879516384e-03	-0.000000000000000000e+00
5.910727731719530587e-01	7.389056098930649341e+02	4.367469879518070912e-03	-0.000000000000000000e+00
6.114545929365031718e-01	7.389056098930649341e+02	4.518072289156624573e-03	-0.000000000000000000e+00
6.318364127010532849e-01	7.389056098930649341e+02	4.668674698795179101e-03	-0.000000000000000000e+00
6.522182324656033980e-01	7.389056098930649341e+02	4.819277108433732762e-03	-0.000000000000000000e+00
6.726000522301534001e-01	7.389056098930649341e+02	4.969879518072286423e-03	-0.000000000000000000e+00
6.929818719947036243e-01	7.389056098930649341e+02	5.120481927710840951e-03	-0.000000000000000000e+00
7.133636917592536264e-01	7.389056098930649341e+02	5.271084337349394612e-03	-0.000000000000000000e+00
7.337455115238038506e-01	7.389056098930649341e+02	5.421686746987949140e-03	-0.000000000000000000e+00
7.541273312883538527e-01	7.389056098930649341e+02	5.572289156626502801e-03	-0.000000000000000000e+00
7.745091510529040768e-01	7.389056098930649341e+02	5.722891566265057330e-03	-0.000000000000000000e+00
7.948909708174540789e-01	7.389056098930649341e+02	5.873493975903610990e-03	-0.000000000000000000e+00
